All,KittenOnly,PostWeaning,prePost Weaning,QueenOnly,QueenSubset
1,0,0,0,1,1
1,0,0,0,1,0
1,0,0,0,1,1
1,0,0,0,1,1
1,1,0,0,0,0
1,1,1,1,0,0
1,1,0,1,0,0
1,1,0,0,0,0
1,1,1,1,0,0
1,1,0,1,0,0
1,1,0,0,0,0
1,1,1,1,0,0
1,1,0,1,0,0
1,1,0,1,0,0
1,0,0,0,1,0
1,0,0,0,1,0
1,0,0,0,1,0
1,0,0,0,1,0
1,0,0,0,1,0
1,0,0,0,1,0
1,1,1,1,0,0
1,1,0,1,0,0
1,1,1,1,0,0
1,1,0,0,0,0
1,1,0,0,0,0
1,1,0,0,0,0
1,1,0,0,0,0
1,1,0,0,0,0
1,1,0,0,0,0
1,1,0,0,0,0
1,1,0,0,0,0
1,1,0,0,0,0
1,1,0,0,0,0
1,1,0,1,0,0
1,1,1,1,0,0
1,1,0,1,0,0
1,1,1,1,0,0
1,1,1,1,0,0
1,1,1,1,0,0
1,1,1,1,0,0
1,1,1,1,0,0
1,1,1,1,0,0
1,1,1,1,0,0
1,1,1,1,0,0
1,1,1,1,0,0
1,1,1,1,0,0
1,1,0,1,0,0
1,1,1,1,0,0
1,1,0,1,0,0
1,1,0,1,0,0
1,1,0,1,0,0
1,1,0,1,0,0
1,1,0,1,0,0
1,1,0,1,0,0
1,1,0,1,0,0
1,1,0,1,0,0
1,1,1,1,0,0
1,0,0,0,1,1
1,0,0,0,1,1
1,0,0,0,1,1
1,1,0,1,0,0
1,1,0,1,0,0
1,0,0,0,1,0
